기준일자,통화명,국가명,매매기준율,송금_보내실때,송금_받으실때
20260223,USD,미국,1444.0,1458.1,1429.9
20260223,EUR,유럽연합,1701.61,1718.62,1684.6
20260223,JPY,일본,9.3261,9.4174,9.2348
20260223,CNY,중국,209.69,211.78,207.6
20260223,HKD,홍콩,184.68,186.52,182.84
20260223,TWD,대만,45.9,46.4,45.4
20260223,GBP,영국,1948.17,1967.65,1928.69
20260223,OMR,오만,3750.84,3795.85,3705.83
20260223,CAD,캐나다,1054.9,1065.44,1044.36
20260223,CHF,스위스,1860.7,1879.3,1842.1
20260223,SEK,스웨덴,159.08,160.67,157.49
20260223,AUD,호주,1020.69,1030.89,1010.49
20260223,NZD,뉴질랜드,861.42,870.03,852.81
20260223,CZK,체코,70.24,71.01,69.47
20260223,CLP,칠레,1.66,1.67,1.65
20260223,TRY,튀르키예,32.94,33.3,32.58
20260223,MNT,몽골,0.4,0.4,0.4
20260223,ILS,이스라엘,462.65,468.2,457.1
20260223,DKK,덴마크,227.77,230.04,225.5
20260223,NOK,노르웨이,151.14,152.65,149.63
20260223,SAR,사우디아라비아,384.9,388.74,381.06
20260223,KWD,쿠웨이트,4718.95,4766.13,4671.77
20260223,BHD,바레인,3829.73,3868.02,3791.44
20260223,AED,아랍에미리트,393.13,397.06,389.2
20260223,JOD,요르단,2036.67,2061.11,2012.23
20260223,EGP,이집트,30.32,30.68,29.96
20260223,THB,태국,46.54,47.0,46.08
20260223,SGD,싱가포르,1140.33,1151.73,1128.93
20260223,MYR,말레이시아,371.11,374.82,367.4
20260223,IDR,인도네시아,0.0862,0.087,0.0854
20260223,QAR,카타르,395.08,399.82,390.34
20260223,KZT,카자흐스탄,2.9,2.93,2.87
20260223,BND,브루나이,1140.33,1154.01,1126.65
20260223,INR,인도,15.89,16.07,15.71
20260223,PKR,파키스탄,5.16,5.22,5.1
20260223,BDT,방글라데시,11.82,11.96,11.68
20260223,PHP,필리핀,25.07,25.32,24.82
20260223,MXN,멕시코,83.95,84.78,83.12
20260223,BRL,브라질,278.53,281.87,275.19
20260223,VND,베트남,0.0555,0.056,0.055
20260223,ZAR,남아프리카 공화국,90.19,91.27,89.11
20260223,RUB,러시아,18.8,19.45,18.15
20260223,HUF,헝가리,4.48,4.52,4.44
20260223,PLN,폴란드,403.48,407.91,399.05
20260223,LKR,스리랑카,4.67,4.72,4.62
20260223,DZD,알제리,11.11,11.24,10.98
20260223,KES,케냐,11.19,11.32,11.06
20260223,COP,콜롬비아,0.39,0.39,0.39
20260223,TZS,탄자니아,0.56,0.56,0.56
20260223,NPR,네팔,9.93,10.04,9.82
20260223,RON,루마니아,333.85,337.52,330.18
20260223,LYD,리비아,228.54,231.28,225.8
20260223,MOP,마카오,179.22,181.37,177.07
20260223,MMK,미얀마,0.69,0.69,0.69
20260223,ETB,에티오피아,9.34,9.45,9.23
20260223,UZS,우즈베키스탄,0.12,0.12,0.12
20260223,KHR,캄보디아,0.36,0.36,0.36
20260223,FJD,피지,649.8,657.59,642.01
